Scan #,Target,Date,Total Vulns,High,Medium,Low,Info,Risk Score,Scan Time (min)
1,http://testphp.vulnweb.com/,2026-02-17,521,49,90,129,253,644,57.7
2,http://testhtml5.vulnweb.com/,2026-02-17,130,0,13,26,91,65,12.6
3,http://testasp.vulnweb.com/,2026-02-17,256,15,26,57,158,210,21.4
4,http://testaspnet.vulnweb.com/,2026-02-17,281,12,56,90,123,318,25.2
5,http://testfire.net/,2026-02-17,349,24,62,143,120,449,36.8
6,http://zero.webappsecurity.com/,2026-02-17,103,0,24,28,51,100,20.9
7,http://demo.testfire.net/,2026-02-17,375,51,62,143,119,584,38.7
8,http://www.webscantest.com/,2026-02-17,18,0,3,12,3,21,8.0
9,http://crackme.cenzic.com/,2026-02-17,0,0,0,0,0,0,0.4
10,http://www.vulnweb.com/,2026-02-17,27,0,5,8,14,23,6.2
11,http://rest.vulnweb.com/,2026-02-17,116,0,20,46,50,106,11.6
12,http://php.testsparker.com/,2026-02-17,12,0,4,7,1,19,5.9
13,http://aspnet.testsparker.com/,2026-02-17,2258,4,436,1099,719,2427,127.0
14,http://public-firing-range.appspot.com/,2026-02-17,1225,108,551,318,248,2511,128.3
15,http://www.hackthissite.org/,2026-02-17,0,0,0,0,0,0,21.0
16,http://testaspnet.vulnweb.com/,2026-02-17,281,12,56,90,123,318,17.3
17,http://testphp.acunetix.com/,2026-02-17,0,0,0,0,0,0,0.3
18,http://demo.xtreamlab.net/,2026-02-17,0,0,0,0,0,0,0.3
19,http://hack.me/,2026-02-17,0,0,0,0,0,0,0.7
20,http://www.dvwa.co.uk/,2026-02-17,0,0,0,0,0,0,1.1
21,http://scanme.nmap.org/,2026-02-17,0,0,0,0,0,0,0.5
22,http://demo.owasp-juice.shop/,2026-02-17,0,0,0,0,0,0,0.5
23,http://www.itsecgames.com/,2026-02-17,0,0,0,0,0,0,0.5
SUMMARY,23 scans,2026-02-17,5952,275,1408,2196,2073,338.9 avg,23.6 avg
